LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CZE,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,8.9,
CZE,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,8.9,
CZE,SOCSUPPORT,OLD,PC,A,2016,10.9,
CZE,SOCSUPPORT,OLD,PC,A,2017,10.9,
CZE,SOCSUPPORT,OLD,PC,A,2018,10.9,
CZE,SOCSUPPORT,YOUNG,PC,A,2016,5.4,
CZE,SOCSUPPORT,YOUNG,PC,A,2017,5.4,
CZE,SOCSUPPORT,YOUNG,PC,A,2018,5.4,
DNK,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,3.6,
DNK,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,3.6,
DNK,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,3.6,
DNK,SOCSUPPORT,OLD,PC,A,2016,5.8,
DNK,SOCSUPPORT,OLD,PC,A,2017,5.8,
DNK,SOCSUPPORT,OLD,PC,A,2018,5.8,
DNK,SOCSUPPORT,YOUNG,PC,A,2016,1.1,
DNK,SOCSUPPORT,YOUNG,PC,A,2017,1.1,
DNK,SOCSUPPORT,YOUNG,PC,A,2018,1.1,
FIN,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,3.6,
FIN,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,3.6,
FIN,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,3.6,
FIN,SOCSUPPORT,OLD,PC,A,2016,8.1,
FIN,SOCSUPPORT,OLD,PC,A,2017,8.1,
FIN,SOCSUPPORT,OLD,PC,A,2018,8.1,
FIN,SOCSUPPORT,YOUNG,PC,A,2016,0.7,
FIN,SOCSUPPORT,YOUNG,PC,A,2017,0.7,
FIN,SOCSUPPORT,YOUNG,PC,A,2018,0.7,
FRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7.7,
FRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7.7,
FRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7.7,
FRA,SOCSUPPORT,OLD,PC,A,2016,9.6,
FRA,SOCSUPPORT,OLD,PC,A,2017,9.6,
FRA,SOCSUPPORT,OLD,PC,A,2018,9.6,
FRA,SOCSUPPORT,YOUNG,PC,A,2016,6.8,
FRA,SOCSUPPORT,YOUNG,PC,A,2017,6.8,
FRA,SOCSUPPORT,YOUNG,PC,A,2018,6.8,
DEU,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,6,
DEU,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,6,
DEU,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,6,
DEU,SOCSUPPORT,OLD,PC,A,2016,9.3,
DEU,SOCSUPPORT,OLD,PC,A,2017,9.3,
DEU,SOCSUPPORT,OLD,PC,A,2018,9.3,
DEU,SOCSUPPORT,YOUNG,PC,A,2016,3.1,
DEU,SOCSUPPORT,YOUNG,PC,A,2017,3.1,
DEU,SOCSUPPORT,YOUNG,PC,A,2018,3.1,
